Formula	Mass	Initial proportion	Assigned
C40H77NO9	754.5235	-0.0	False
C39H73NO8	722.4973	-0.0	False
C45H87O12P	889.5572	-0.0	False
C48H96NO6P	852.6612	-0.0	False
C47H95O9P	873.6351	-0.0	False
C48H93NO8	850.6538	-0.0	False
C39H73O8P	739.468	0.0042	True
C50H92NO7P	888.6248	-0.0	False
C50H86NO8P	898.5728	-0.0	False
C41H77O9P	783.4942	-0.0	False
C44H87NO10	828.5967	-0.0	False
C48H92NO9P	896.6147	-0.0	False
C42H79O13P	861.4895	-0.0	False
C38H75O9P	745.4786	-0.0	False
C36H72NO8P	716.4633	-0.0	False
C41H74NO8P	778.4789	-0.0	False
C31H54NO13P	718.297	-0.0	False
C42H84NO8P	800.5572	-0.0	False
C41H72NO8P	776.4633	-0.0	False
C40H80NO9P	788.5208	-0.0	False
C49H99N2O6P	881.6878	-0.0	False
C50H99NO8	880.7008	-0.0	False
C30H52NO13P	704.2813	-0.0	False
C37H71O9P	729.4473	0.0	False
C42H71O13P	853.4269	-0.0	False
C39H73O12P	803.4477	-0.0	False
C38H73NO8	710.4973	-0.0	False
C42H77O10P	811.4891	-0.0	False
C46H89NO10	854.6124	-0.0	False
C40H76NO9P	784.4895	-0.0	False
C40H71O9P	765.4473	-0.0	False
C48H91O10P	897.5987	-0.0	False
C43H74NO6P	770.4891	-0.0	False
C41H78NO9P	798.5051	-0.0	False
C52H105NO4	846.7681	-0.0	False
C43H83NO4	716.5959	-0.0	False
C38H75NO8	712.513	-0.0	False
C48H76NO10P	896.4844	-0.0	False
C42H77O13P	859.4739	0.0	False
C50H102NO7P	898.7031	-0.0	False
C45H88NO7P	824.5935	-0.0	False
C44H79O9P	821.5099	-0.0	False
C45H89NO3	730.648	-0.0	False
C42H81N2O7P	795.5418	-0.0	False
C49H78NO8P	878.5102	-0.0	False
C35H65O13P	763.38	-0.0	False
C41H79O13P	849.4895	-0.0	False
C42H78NO9P	810.5051	-0.0	False
C45H80NO10P	864.5157	-0.0	False
C42H83O10P	817.5361	-0.0	False
C42H76NO10P	824.4844	-0.0	False
C43H83O9P	813.5412	-0.0	False
C40H81O9P	775.5255	-0.0	False
C48H97O9P	887.6507	-0.0	False
C43H83NO10	812.5654	-0.0	False
C40H75O12P	817.4633	-0.0	False
C39H77O7P	727.5044	-0.0	False
C45H92NO7P	828.6248	-0.0	False
C41H72NO10P	808.4531	-0.0	False
C47H96NO7P	856.6561	-0.0	False
C36H68NO10P	744.4218	-0.0	False
C39H69O7P	719.4418	-0.0	False
C46H91NO10	856.628	-0.0	False
C39H72NO7P	736.4683	-0.0	False
C39H73O13P	819.4426	-0.0	False
C48H89NO9	862.6174	-0.0	False
C41H79NO10	784.5341	-0.0	False
C39H79O7P	729.52	0.0	False
C36H61NO16	802.3627	-0.0	False
C45H89N2O6P	823.6095	-0.0	False
C46H79O10P	861.5048	-0.0	False
C34H65O10P	703.3952	-0.0	False
C31H53O13P	703.2861	-0.0	False
C42H83N2O7P	797.5575	-0.0	False
C41H81N2O6P	767.5469	-0.0	False
C45H86NO7P	822.5779	-0.0	False
C44H83NO13	872.5501	-0.0	False
C51H103NO5	848.7473	-0.0	False
C37H61O8P	703.3741	-0.0	False
C45H89O7P	811.5983	-0.0	False
C39H67O16P	861.3804	-0.0	False
C35H71O9P	705.4473	-0.0	False
C41H82NO8P	786.5415	-0.0	False
C43H83NO9	796.5705	-0.0	False
C45H88NO9P	856.5834	-0.0	False
C45H67O8P	805.4211	-0.0	False
C41H85N2O6P	771.5782	-0.0	False
C48H93O9P	883.6194	-0.0	False
C42H74NO9P	806.4738	-0.0	False
C40H74NO9P	782.4738	-0.0	False
C48H96NO8P	884.6511	-0.0	False
C38H74NO10P	774.4687	-0.0	False
C34H61O12P	731.3538	-0.0	False
C40H81N2O6P	755.5469	-0.0	False
C44H79O8P	805.515	-0.0	False
C40H77N2O6P	751.5156	-0.0	False
C45H72NO8P	824.4633	-0.0	False
C41H71O7P	745.4574	-0.0	False
C42H81NO9	782.5548	-0.0	False
C36H68NO8P	712.432	-0.0	False
C43H79O13P	873.4895	-0.0	False
C44H84NO7P	808.5622	-0.0	False
C36H68NO11P	760.4167	-0.0	False
C44H89NO5	750.6378	-0.0	False
C44H82NO10P	854.5313	-0.0	False
C37H74NO7P	714.484	-0.0	False
C44H88NO12P	892.5681	-0.0	False
C39H76NO10P	788.4844	-0.0	False
C44H84NO9P	840.5521	-0.0	False
C35H64NO10P	728.3905	0.0	False
C49H97NO3	786.7106	-0.0	False
C49H99NO5	820.716	-0.0	False
C37H72O11P2	793.4187	-0.0	False
C47H93O9P	871.6194	-0.0	False
C45H86NO9P	854.5677	-0.0	False
C44H73O9P	815.4629	-0.0	False
C47H86NO8P	862.5728	-0.0	False
C40H77NO8	738.5286	-0.0	False
C40H69O13P	827.4113	-0.0	False
C45H69O8P	807.4367	-0.0	False
C49H97N2O6P	879.6721	-0.0	False
C42H82NO8P	798.5415	0.0926	True
C45H75O8P	813.4837	-0.0	False
C40H73O13P	831.4426	-0.0	False
C35H61O15P	791.3385	-0.0	False
C43H82NO8P	810.5415	-0.0	False
C37H73O10P	747.4578	-0.0	False
C40H73O8P	751.468	-0.0	False
C44H87NO2	700.6374	-0.0	False
C47H87O8P	849.5776	-0.0	False
C41H80NO9P	800.5208	-0.0	False
C50H96NO7P	892.6561	-0.0	False
C38H76NO9P	760.4895	-0.0	False
C44H71O10P	829.4422	-0.0	False
C45H76NO10P	860.4844	-0.0	False
C40H65O8P	743.4054	-0.0	False
C45H75O10P	845.4735	-0.0	False
C45H81O7P	803.5357	-0.0	False
C31H52NO13P	716.2813	-0.0	False
C35H62NO10P	726.3748	-0.0	False
C39H79N2O7P	757.5262	-0.0	False
C50H94NO7P	890.6405	-0.0	False
C39H73O7P	723.4731	-0.0	False
C36H67O13P	777.3956	-0.0	False
C42H69O10P	803.4265	-0.0	False
C37H71O10P	745.4422	-0.0	False
C39H61O8P	727.3741	-0.0	False
C42H79NO13	844.5188	-0.0	False
C45H85O8P	823.5619	-0.0	False
C47H85O10P	879.5517	-0.0	False
C42H75O10P	809.4735	-0.0	False
C42H85N2O6P	783.5782	-0.0	False
C45H80NO8P	832.5259	-0.0	False
C47H79O10P	873.5048	-0.0	False
C42H75O8P	777.4837	-0.0	False
C43H71O13P	865.4269	-0.0	False
C40H77O10P	787.4891	-0.0	False
C44H85O13P	891.5365	-0.0	False
C33H62NO11P	718.3698	-0.0	False
C46H76NO10P	872.4844	-0.0	False
C44H75O13P	881.4582	-0.0	False
C46H91O8P	841.6089	-0.0	False
C32H56NO13P	732.3126	-0.0	False
C50H97NO3	798.7106	-0.0	False
C48H89O10P	895.583	-0.0	False
C48H86NO9P	890.5677	-0.0	False
C42H82NO10P	830.5313	-0.0	False
C48H78NO8P	866.5102	-0.0	False
C33H59O17P	797.3127	-0.0	False
C43H81O8P	795.5306	-0.0	False
C34H68NO9P	704.4269	-0.0	False
C38H65O8P	719.4054	-0.0	False
C42H70NO8P	786.4476	-0.0	False
C31H55O13P	705.3017	-0.0	False
C38H76NO7P	728.4996	0.0	False
C44H81O12P	871.5103	-0.0	False
C39H68NO8P	748.432	-0.0	False
C50H90NO7P	886.6092	-0.0	False
C44H90NO7P	814.6092	-0.0	False
C50H95NO8	876.6695	-0.0	False
C39H81N2O6P	743.5469	-0.0	False
C42H83O7P	769.5513	-0.0	False
C36H68NO9P	728.4269	0.0	False
C45H85NO9	822.5861	-0.0	False
C40H80NO12P	836.5055	-0.0	False
C46H87NO8	820.6069	-0.0	False
C46H90NO7P	838.6092	-0.0	False
C34H63O15P	781.3542	-0.0	False
C39H74NO10P	786.4687	-0.0	False
C50H97NO4	814.7055	-0.0	False
C48H83O10P	889.5361	-0.0	False
C38H65O10P	751.3952	-0.0	False
C34H60NO13P	760.3439	-0.0	False
C41H75NO9	764.5079	-0.0	False
C44H85NO8	794.5912	-0.0	False
C42H83O9P	801.5412	-0.0	False
C45H87O10P	857.5674	-0.0	False
C35H68NO8P	700.432	-0.0	False
C38H77N2O6P	727.5156	-0.0	False
C42H74NO8P	790.4789	-0.0	False
C48H98NO7P	870.6718	-0.0	False
C36H62NO12P	770.3647	-0.0	False
C49H74NO8P	874.4789	0.0003	True
C32H57O13P	719.3174	-0.0	False
C40H79NO8	740.5443	-0.0	False
C41H74NO10P	810.4687	-0.0	False
C33H63O13P	737.3643	-0.0	False
C42H79O8P	781.515	-0.0	False
C46H91NO5	776.6534	-0.0	False
C39H72NO9P	768.4582	-0.0	False
C40H77N2O7P	767.5105	-0.0	False
C46H91N2O6P	837.6252	-0.0	False
C46H86NO8P	850.5728	-0.0	False
C40H71O13P	829.4269	-0.0	False
C45H71O8P	809.4524	-0.0	False
C46H87O9P	853.5725	-0.0	False
C43H84NO9P	828.5521	-0.0	False
C44H81NO8	790.5599	-0.0	False
C45H79O7P	801.52	-0.0	False
C42H73O9P	791.4629	-0.0	False
C40H75O7P	737.4887	-0.0	False
C32H60NO11P	704.3541	-0.0	False
C54H107NO5	888.7786	-0.0	False
C36H65O15P	807.3698	-0.0	False
C47H91NO3	756.6636	-0.0	False
C40H76NO8P	768.4946	-0.0	False
C43H85NO10	814.5811	-0.0	False
C41H80NO10P	816.5157	-0.0	False
C44H84NO6P	792.5673	0.0006	True
C32H56NO12P	716.3177	-0.0	False
C44H83O13P	889.5208	-0.0	False
C44H87O10P	845.5674	-0.0	False
C46H75O9P	841.4786	-0.0	False
C48H73O10P	879.4578	-0.0	False
C36H63O13P	773.3643	-0.0	False
C37H70NO10P	758.4374	-0.0	False
C46H85NO9	834.5861	-0.0	False
C42H80NO9P	812.5208	-0.0	False
C43H74NO10P	834.4687	-0.0	False
C42H76NO9P	808.4895	-0.0	False
C43H68NO8P	796.432	-0.0	False
C36H64NO10P	740.3905	-0.0	False
C36H62NO10P	738.3748	-0.0	False
C34H67O10P	705.4109	-0.0	False
C50H100NO7P	896.6874	-0.0	False
C34H63O14P	765.3593	-0.0	False
C41H77O12P	831.479	-0.0	False
C40H78NO8P	770.5102	0.0031	True
C47H82NO8P	858.5415	-0.0	False
C46H88NO7P	836.5935	-0.0	False
C44H78NO8P	818.5102	-0.0	False
C46H88NO9P	868.5834	-0.0	False
C39H69O16P	863.396	-0.0	False
C38H79N2O6P	729.5313	0.0	False
C42H72NO10P	820.4531	-0.0	False
C33H57O15P	763.3072	-0.0	False
C47H82NO10P	890.5313	-0.0	False
C42H79O10P	813.5048	-0.0	False
C49H90NO8P	890.6041	-0.0	False
C42H67O10P	801.4109	-0.0	False
C43H79O8P	793.515	-0.0	False
C30H55O15P	725.2916	-0.0	False
C41H70NO10P	806.4374	-0.0	False
C50H80NO8P	892.5259	-0.0	False
C38H77N2O7P	743.5105	-0.0	False
C48H95NO4	788.6898	-0.0	False
C43H77O14P	887.4688	-0.0	False
C44H85NO4	730.6116	-0.0	False
C45H90NO9P	858.599	-0.0	False
C46H76NO8P	840.4946	-0.0	False
C48H89O9P	879.5881	-0.0	False
C45H81O10P	851.5204	-0.0	False
C32H54NO12P	714.3021	-0.0	False
C45H83O7P	805.5513	-0.0	False
C44H89NO2	702.653	-0.0	False
C43H85NO5	734.6065	-0.0	False
C48H95N2O6P	865.6565	-0.0	False
C42H86NO7P	786.5779	-0.0	False
C39H69O15P	847.4011	-0.0	False
C42H71O10P	805.4422	-0.0	False
C40H77O12P	819.479	-0.0	False
C40H76NO7P	752.4996	-0.0	False
C46H83O9P	849.5412	-0.0	False
C38H70NO11P	786.4324	-0.0	False
C34H63O10P	701.3796	-0.0	False
C43H81NO10	810.5498	-0.0	False
C40H80NO6P	740.536	-0.0	False
C44H77O8P	803.4993	-0.0	False
C33H61O11P	703.3589	-0.0	False
C40H73O9P	767.4629	-0.0	False
C44H85NO3	714.6167	-0.0	False
C48H83O9P	873.5412	-0.0	False
C46H91NO3	744.6636	-0.0	False
C45H89O9P	843.5881	-0.0	False
C38H73N2O7P	739.4792	-0.0	False
C50H101NO4	818.7368	-0.0	False
C46H81O9P	847.5255	-0.0	False
C50H101NO3	802.7419	-0.0	False
C42H73O8P	775.468	-0.0	False
C42H85O7P	771.567	-0.0	False
C32H55O12P	701.3068	-0.0	False
C43H81O7P	779.5357	-0.0	False
C48H84NO7P	856.5622	-0.0	False
C37H65O10P	739.3952	-0.0	False
C52H101NO4	842.7368	-0.0	False
C39H77N2O7P	755.5105	-0.0	False
C37H75N2O7P	729.4949	0.0	False
C46H93O9P	859.6194	0.0	False
C48H88NO8P	876.5885	-0.0	False
C41H71O8P	761.4524	0.0013	True
C41H81O9P	787.5255	-0.0	False
C48H87O9P	877.5725	-0.0	False
C38H75N2O7P	741.4949	-0.0	False
C43H85O12P	863.5416	-0.0	False
C45H74NO7P	810.484	-0.0	False
C39H72NO10P	784.4531	-0.0	False
C43H78NO8P	806.5102	0.001	True
C40H79O7P	741.52	-0.0	False
C43H70NO8P	798.4476	-0.0	False
C45H89O8P	827.5932	-0.0	False
C39H75O12P	805.4633	-0.0	False
C45H86NO10P	870.5626	-0.0	False
C34H62NO12P	746.3647	-0.0	False
C34H62NO11P	730.3698	-0.0	False
C42H80NO10P	828.5157	-0.0	False
C38H63O8P	717.3898	-0.0	False
C38H73O12P	791.4477	-0.0	False
C36H65O14P	791.3749	-0.0	False
C47H88NO8P	864.5885	-0.0	False
C49H95NO10	896.6593	-0.0	False
C48H75O10P	881.4735	-0.0	False
C46H93NO3	746.6793	-0.0	False
C46H93NO4	762.6742	-0.0	False
C47H76NO8P	852.4946	-0.0	False
C43H72NO7P	784.4683	-0.0	False
C47H89NO8	834.6225	-0.0	False
C45H73O10P	843.4578	-0.0	False
C35H69O9P	703.4316	-0.0	False
C42H81O13P	863.5052	-0.0	False
C45H77O8P	815.4993	-0.0	False
C40H68NO10P	792.4218	-0.0	False
C44H88NO11P	876.5732	-0.0	False
C37H73O12P	779.4477	-0.0	False
C43H82NO10P	842.5313	-0.0	False
C40H70NO10P	794.4374	-0.0	False
C35H66NO9P	714.4112	-0.0	False
C44H87NO5	748.6221	-0.0	False
C43H72NO6P	768.4734	-0.0	False
C36H69N2O7P	711.4479	-0.0	False
C42H84NO12P	864.5368	-0.0	False
C34H65O17P	815.3596	-0.0	False
C42H85N2O7P	799.5731	-0.0	False
C45H76NO8P	828.4946	-0.0	False
C48H90NO7P	862.6092	-0.0	False
C44H84NO10P	856.547	-0.0	False
C43H75O12P	853.4633	-0.0	False
C45H90NO8P	842.6041	-0.0	False
C49H88NO8P	888.5885	-0.0	False
C39H75O10P	773.4735	-0.0	False
C46H75O10P	857.4735	-0.0	False
C47H94NO9P	886.6303	-0.0	False
C41H69O10P	791.4265	-0.0	False
C44H87O8P	813.5776	-0.0	False
C40H74NO10P	798.4687	-0.0	False
C41H75NO8	748.513	-0.0	False
C53H105NO4	858.7681	-0.0	False
C41H65O8P	755.4054	-0.0	False
C43H79NO9	792.5392	-0.0	False
C43H73O7P	771.4731	-0.0	False
C56H109NO4	898.7994	-0.0	False
C44H91N2O6P	813.6252	-0.0	False
C36H73O9P	719.4629	-0.0	False
C46H80NO6P	812.536	-0.0	False
C38H74NO7P	726.484	-0.0	False
C44H80NO11P	868.5106	-0.0	False
C43H83N2O6P	793.5626	-0.0	False
C29H53O15P	711.2759	-0.0	False
C45H90NO7P	826.6092	-0.0	False
C46H74NO8P	838.4789	-0.0	False
C48H95NO10	884.6593	-0.0	False
C35H67O13P	765.3956	-0.0	False
C45H77O13P	895.4739	-0.0	False
C44H83O8P	809.5463	-0.0	False
C40H70NO9P	778.4425	-0.0	False
C36H72NO9P	732.4582	-0.0	False
C38H73O7P	711.4731	-0.0	False
C35H69O10P	719.4265	-0.0	False
C38H75O7P	713.4887	-0.0	False
C39H75O7P	725.4887	-0.0	False
C38H64NO10P	764.3905	-0.0	False
C40H80NO7P	756.5309	-0.0	False
C37H75N2O6P	713.5	-0.0	False
C43H75O13P	869.4582	-0.0	False
C43H83NO8	780.5756	-0.0	False
C41H84NO7P	772.5622	-0.0	False
C45H82NO7P	818.5466	-0.0	False
C34H60NO11P	728.3541	0.0	False
C44H89N2O6P	811.6095	-0.0	False
C43H70NO7P	782.4527	-0.0	False
C48H72NO10P	892.4531	-0.0	False
C33H57NO14	730.3416	-0.0	False
C44H76NO8P	816.4946	-0.0	False
C35H70NO8P	702.4476	-0.0	False
C34H60NO10P	712.3592	-0.0	False
C47H88NO10P	896.5783	-0.0	False
C36H63O10P	725.3796	-0.0	False
C46H86NO9P	866.5677	-0.0	False
C49H98NO8P	898.6667	-0.0	False
C52H103NO5	860.7473	-0.0	False
C43H72NO10P	832.4531	-0.0	False
C50H99NO3	800.7262	-0.0	False
C47H93N2O6P	851.6408	0.0205	True
C47H92NO9P	884.6147	-0.0	False
C49H101N2O6P	883.7034	-0.0	False
C42H71O8P	773.4524	-0.0	False
C48H97N2O6P	867.6721	-0.0	False
C34H63O12P	733.3694	-0.0	False
C48H84NO8P	872.5572	-0.0	False
C46H89NO4	758.6429	-0.0	False
C47H86NO10P	894.5626	-0.0	False
C48H95NO5	804.6847	-0.0	False
C47H77O8P	839.4993	-0.0	False
C42H73O10P	807.4578	-0.0	False
C50H99NO4	816.7211	-0.0	False
C45H83O8P	821.5463	-0.0	False
C42H80NO7P	780.5309	-0.0	False
C40H72NO10P	796.4531	-0.0	False
C48H78NO10P	898.5	-0.0	False
C43H76NO9P	820.4895	-0.0	False
C37H67O16P	837.3804	-0.0	False
C44H80NO9P	836.5208	-0.0	False
C44H80NO10P	852.5157	-0.0	False
C47H88NO7P	848.5935	-0.0	False
C45H83O12P	885.5259	-0.0	False
C50H101NO5	834.7317	-0.0	False
C43H78NO10P	838.5	-0.0	False
C41H75O13P	845.4582	-0.0	False
C38H76NO8P	744.4946	-0.0	False
C37H71O13P	793.4269	-0.0	False
C37H74NO8P	730.4789	-0.0	False
C39H77N2O6P	739.5156	-0.0	False
C36H66NO8P	710.4163	-0.0	False
C37H77N2O6P	715.5156	-0.0	False
C40H81N2O7P	771.5418	-0.0	False
C41H70NO8P	774.4476	-0.0	False
C43H81O10P	827.5204	-0.0	False
C41H79N2O6P	765.5313	-0.0	False
C44H88NO7P	812.5935	-0.0	False
C47H89O8P	851.5932	-0.0	False
C37H67O13P	789.3956	-0.0	False
C49H86NO8P	886.5728	-0.0	False
C47H93NO4	774.6742	-0.0	False
C44H85O10P	843.5517	-0.0	False
C48H82NO6P	838.5517	-0.0	False
C39H76NO8P	756.4946	-0.0	False
C39H67O13P	813.3956	-0.0	False
C32H54NO13P	730.297	-0.0	False
C45H91N2O6P	825.6252	-0.0	False
C36H71O10P	733.4422	-0.0	False
C44H89O9P	831.5881	-0.0	False
C45H77O10P	847.4891	-0.0	False
C47H95NO4	776.6898	-0.0	False
C47H95NO5	792.6847	-0.0	False
C46H94NO7P	842.6405	-0.0	False
C39H74NO9P	770.4738	-0.0	False
C44H78NO7P	802.5153	-0.0	False
C45H70NO8P	822.4476	-0.0	False
C45H83NO9	820.5705	-0.0	False
C47H80NO10P	888.5157	-0.0	False
C49H99NO3	788.7262	-0.0	False
C46H92NO9P	872.6147	-0.0	False
C36H70NO10P	746.4374	-0.0	False
C43H77O13P	871.4739	-0.0	False
C46H80NO7P	828.5309	-0.0	False
C40H79O8P	757.515	-0.0	False
C44H87NO3	716.6323	-0.0	False
C44H74NO8P	814.4789	-0.0	False
C36H67O10P	729.4109	0.0	False
C48H94NO7P	866.6405	-0.0	False
C42H82NO9P	814.5364	-0.0	False
C41H83N2O6P	769.5626	0.0117	True
C38H69O10P	755.4265	-0.0	False
C37H63O8P	705.3898	-0.0	False
C36H62NO13P	786.3596	-0.0	False
C44H77O9P	819.4942	-0.0	False
C36H66NO10P	742.4061	-0.0	False
C46H89O8P	839.5932	0.0024	True
C45H87NO4	744.6272	-0.0	False
C44H89NO3	718.648	-0.0	False
C38H73O9P	743.4629	-0.0	False
C31H55O15P	737.2916	-0.0	False
C38H66NO10P	766.4061	-0.0	False
C38H72NO9P	756.4582	-0.0	False
C51H101NO4	830.7368	-0.0	False
C38H74NO8P	742.4789	-0.0	False
C43H74NO7P	786.484	-0.0	False
C37H70NO8P	726.4476	-0.0	False
C44H83NO9	808.5705	-0.0	False
C43H85O7P	783.567	-0.0	False
C42H77O9P	795.4942	-0.0	False
C45H91O7P	813.6139	-0.0	False
C39H80NO7P	744.5309	-0.0	False
C45H85O12P	887.5416	-0.0	False
C47H91N2O6P	849.6252	0.0037	True
C41H71O13P	841.4269	-0.0	False
C48H90NO8P	878.6041	-0.0	False
C41H77O7P	751.5044	-0.0	False
C45H88NO10P	872.5783	-0.0	False
C48H92NO8P	880.6198	-0.0	False
C36H70NO8P	714.4476	-0.0	False
C46H90NO9P	870.599	-0.0	False
C38H77O7P	715.5044	-0.0	False
C40H79NO9	756.5392	-0.0	False
C35H59O16P	805.3178	-0.0	False
C46H88NO10P	884.5783	-0.0	False
C42H84NO13P	880.5317	-0.0	False
C36H71O8P	701.4524	-0.0	False
C42H70NO10P	818.4374	-0.0	False
C40H78NO9P	786.5051	-0.0	False
C37H64NO10P	752.3905	-0.0	False
C41H79O12P	833.4946	-0.0	False
C38H73N2O6P	723.4843	-0.0	False
C37H69O8P	711.4367	-0.0	False
C43H70NO10P	830.4374	-0.0	False
C32H57O15P	751.3072	-0.0	False
C41H81O7P	755.5357	-0.0	False
C44H77O13P	883.4739	-0.0	False
C34H57O15P	775.3072	-0.0	False
C48H100NO6P	856.6925	-0.0	False
C46H84NO9P	864.5521	-0.0	False
C42H72NO9P	804.4582	-0.0	False
C46H83O10P	865.5361	-0.0	False
C44H72NO10P	844.4531	-0.0	False
C43H81O9P	811.5255	-0.0	False
C39H71O7P	721.4574	-0.0	False
C33H60NO10P	700.3592	-0.0	False
C40H71O8P	749.4524	-0.0	False
C52H105NO5	862.763	-0.0	False
C41H83O7P	757.5513	-0.0	False
C40H77O9P	771.4942	-0.0	False
C33H60NO12P	732.349	-0.0	False
C43H77O8P	791.4993	-0.0	False
C40H77NO10	770.5185	-0.0	False
C33H59O16P	781.3178	-0.0	False
C33H60NO11P	716.3541	-0.0	False
C43H73O10P	819.4578	-0.0	False
C45H85O10P	855.5517	-0.0	False
C40H75NO8	736.513	-0.0	False
C46H95O9P	861.6351	-0.0	False
C39H74NO8P	754.4789	-0.0	False
C46H91NO4	760.6585	-0.0	False
C46H78NO8P	842.5102	-0.0	False
C39H71O10P	769.4422	-0.0	False
C46H86NO10P	882.5626	-0.0	False
C35H62NO11P	742.3698	-0.0	False
C32H55O15P	749.2916	-0.0	False
C46H83O8P	833.5463	-0.0	False
C47H89O10P	883.583	-0.0	False
C34H61O13P	747.3487	-0.0	False
C44H85O8P	811.5619	-0.0	False
C43H87NO3	704.6323	-0.0	False
C45H76NO6P	796.5047	-0.0	False
C43H79O10P	825.5048	-0.0	False
C40H77O8P	755.4993	-0.0	False
C44H82NO11P	870.5263	-0.0	False
C41H78NO8P	782.5102	-0.0	False
C30H55O14P	709.2966	-0.0	False
C53H105NO5	874.763	-0.0	False
C34H59O15P	777.3229	-0.0	False
C38H67O10P	753.4109	-0.0	False
C40H75O8P	753.4837	-0.0	False
C35H68NO9P	716.4269	-0.0	False
C47H87NO9	848.6018	-0.0	False
C43H75O8P	789.4837	0.0013	True
C46H76NO7P	824.4996	-0.0	False
C41H69O13P	839.4113	-0.0	False
C44H86NO6P	794.583	-0.0	False
C41H78NO7P	766.5153	-0.0	False
C37H73O8P	715.468	-0.0	False
C32H61O17P	787.3283	-0.0	False
C48H88NO9P	892.5834	-0.0	False
C33H63O17P	801.344	-0.0	False
C46H82NO10P	878.5313	-0.0	False
C48H81O10P	887.5204	-0.0	False
C33H57NO13	714.3467	-0.0	False
C38H72NO7P	724.4683	-0.0	False
C41H82NO7P	770.5466	-0.0	False
C34H63O17P	813.344	-0.0	False
C37H75O9P	733.4786	-0.0	False
C44H78NO9P	834.5051	-0.0	False
C39H70NO8P	750.4476	-0.0	False
C47H90NO10P	898.5939	-0.0	False
C42H81NO4	702.5803	-0.0	False
C45H81O8P	819.5306	-0.0	False
C32H57O14P	735.3123	-0.0	False
C38H75O10P	761.4735	-0.0	False
C46H95O8P	845.6402	-0.0	False
C37H73N2O6P	711.4843	-0.0	False
C43H87NO4	720.6272	-0.0	False
C43H82NO7P	794.5466	-0.0	False
C41H66NO8P	770.4163	-0.0	False
